epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
69,112327,1.1718,1.47675,1.20204,0.61106,0.45818,0.49812,0.35021,1.14522,1.24842,1.17245,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.003268
70,113927,1.17059,1.47191,1.20146,0.61349,0.45811,0.49905,0.35071,1.14397,1.24726,1.17146,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.003169
71,115551,1.16876,1.46868,1.20016,0.61293,0.46089,0.49949,0.35101,1.1436,1.24638,1.17092,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00307
72,117161,1.16658,1.4634,1.19837,0.61488,0.4626,0.50022,0.35158,1.14276,1.2454,1.16983,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.002971
73,118777,1.16465,1.45808,1.19706,0.61221,0.46209,0.50062,0.35238,1.14156,1.24412,1.16896,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.002872
74,120389,1.16459,1.45351,1.1969,0.61373,0.4626,0.50143,0.35298,1.14112,1.24317,1.16857,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.002773
75,122000,1.16175,1.44881,1.1956,0.61093,0.46275,0.50182,0.35357,1.14087,1.24236,1.16838,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.002674
76,123609,1.15702,1.44326,1.19237,0.61129,0.46465,0.50271,0.35416,1.14023,1.24145,1.16777,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.002575
77,125217,1.15648,1.43841,1.19101,0.62034,0.46062,0.50325,0.3548,1.13965,1.24082,1.16722,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.002476
78,126827,1.15539,1.43529,1.1906,0.62017,0.46278,0.50366,0.3554,1.13899,1.23995,1.16673,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.002377
79,128434,1.15283,1.42752,1.18917,0.60739,0.46781,0.50448,0.35597,1.13789,1.23886,1.16584,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.002278
80,130034,1.1495,1.42703,1.1877,0.61053,0.46763,0.50426,0.35648,1.13675,1.2375,1.16506,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.002179
81,131629,1.14859,1.42274,1.18649,0.61842,0.46471,0.50482,0.35696,1.13643,1.23586,1.16438,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00208
82,133256,1.14526,1.41398,1.1848,0.61949,0.46479,0.50556,0.35754,1.13561,1.23505,1.16363,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.001981
83,134857,1.14334,1.407,1.18242,0.61986,0.4615,0.50516,0.35728,1.13475,1.23321,1.16299,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.001882
84,136469,1.14077,1.4011,1.18138,0.61658,0.46563,0.50637,0.35789,1.13434,1.23128,1.16257,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.001783
85,138072,1.14019,1.39861,1.18079,0.61863,0.46554,0.50736,0.35862,1.13378,1.2301,1.16188,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.001684
86,139674,1.13655,1.39146,1.17866,0.61722,0.46727,0.50817,0.35908,1.13378,1.22919,1.16168,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.001585
87,141275,1.13583,1.38626,1.17749,0.62019,0.46579,0.50868,0.35933,1.13344,1.22786,1.16113,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.001486
88,142895,1.12957,1.37741,1.17481,0.61897,0.46805,0.5101,0.36022,1.13259,1.22645,1.16027,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.001387
89,144498,1.12863,1.37012,1.17328,0.62166,0.46745,0.51074,0.36066,1.13227,1.22543,1.1597,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.001288
90,146109,1.12542,1.3633,1.17103,0.61742,0.46959,0.51224,0.36173,1.13137,1.2238,1.15895,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.001189
