epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
89,164305,1.12837,1.36946,1.17347,0.62397,0.46553,0.50951,0.35938,1.13183,1.22616,1.15998,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.001288
90,165851,1.12598,1.36364,1.17056,0.62426,0.46534,0.50994,0.35974,1.13113,1.22485,1.15922,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.001189
91,167409,1.15365,1.30287,1.19528,0.62296,0.469,0.51069,0.36056,1.12979,1.22382,1.15798,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00109
92,168937,1.14682,1.28313,1.19005,0.62365,0.47248,0.51265,0.36236,1.12876,1.2219,1.15723,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.000991
93,170497,1.14023,1.26991,1.18566,0.63034,0.47008,0.51326,0.36302,1.12807,1.22107,1.15657,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.000892
94,172035,1.1367,1.26001,1.18317,0.6311,0.47173,0.51348,0.36326,1.12706,1.21945,1.15585,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.000793
95,173585,1.13219,1.24913,1.17888,0.62914,0.47123,0.51416,0.36465,1.1263,1.21775,1.15519,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.000694
96,175150,1.12694,1.23832,1.1759,0.63193,0.4706,0.51475,0.36521,1.12515,1.21669,1.15426,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.000595
97,176682,1.12124,1.2271,1.17345,0.63864,0.46633,0.51498,0.36535,1.12416,1.2158,1.15323,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.000496
98,178244,1.11834,1.21687,1.17051,0.63707,0.46741,0.51543,0.36587,1.12344,1.21473,1.15257,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.000397
99,179802,1.11326,1.20628,1.16771,0.641,0.46697,0.51617,0.36634,1.12345,1.21357,1.15224,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000298
100,181345,1.10826,1.19724,1.16342,0.64365,0.46601,0.51657,0.36682,1.12338,1.21285,1.15182,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000199
